"Attempt.ID","Location.ID","Latitude","Longitude","Subnational.Code","Substrate.Relationship","Substrate","Substrate.Other.Description","Height.m","Cavity.Entrance.Diameter.cm","Entrance.Orientation","Elevation.m","Habitat.1m","Habitat.100m","Location.Entry.Technique","Observer.ID","Species.Code","Species.Name","Year","Predator.Guard","Predator.Guard.Other","First.Lay.Date","First.Lay.Date.Estimated","Visited.During.Egg.Laying","Hatch.Date","Hatch.Date.Estimated","Fledge.Date","Fledge.Date.Estimated","Young.Fledged","Clutch.Size","Young.Total","Unhatched.Eggs","Outcome","Attempt.Entry.Technique"
"A1125633","L1138581",37.0494803,-88.6570914,"US-KY","in","busshr","",1.524,NA,"",NA,"human","human","latlong","obsr248347","amerob","American Robin",2011,"","","2011-04-08",NA,NA,"2011-04-18",NA,"",NA,0,4,3,1,"f",""
"A1126398","L1150145",39.018773,-77.07252,"US-MD","on","other","window sill",7.62,15.24,"w",86.9,"oth","human","latlong","obsr257611","amerob","American Robin",2011,"","","2011-04-30",NA,NA,"2011-05-08",NA,"2011-05-08",NA,0,1,0,1,"f",""
"A1127076","L1158700",38.891663,-77.293205,"US-VA","in","busshr","",1.524,NA,"e",NA,"human","human","geocode","obsr265954","amerob","American Robin",2011,"","","2011-04-27",NA,NA,"2011-05-08",NA,"2011-05-08",NA,0,4,1,3,"f",""
"A1127693","L1167952",39.6849594,-85.7395631,"US-IN","in","ltrbra","",2.8956,NA,"",NA,"human","human","map","obsr152066","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"n",""
"A1127820","L1169356",41.5896687,-72.8688145,"US-CT","in","busshr","",1.8288,NA,"",42.7,"human","human","geocode","obsr233007","amerob","American Robin",2011,"","","2011-04-26",NA,NA,"",NA,"",NA,0,4,0,4,"f",""
"A1126414","L1150258",38.6665445,-90.3149404,"US-MO","on","buildi","",4.572,NA,"",160.9,"human","human","geocode","obsr207310","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126297","L1148840",39.4096036,-77.2612882,"US-MD","in","busshr","",0.3048,NA,"",NA,"oth","human","map","obsr262011","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,0,0,0,0,"f",""
"A1127151","L896206",42.382709,-88.086592,"US-IL","in","ltrbra","",2.7432,NA,"",245.1,"human","human","geocode","obsr169110","amerob","American Robin",2011,"","","2011-04-26",NA,NA,"2011-05-11",NA,"",NA,0,4,2,2,"f",""
"A1126786","L717361",39.9038648,-75.3077682,"US-PA","in","busshr","",1.8288,NA,"",NA,"human","human","geocode","obsr185875","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"f3",""
"A1128089","L1171966",41.4686342,-75.4694223,"US-PA","in","ltrbra","",1.6764,NA,"",NA,"human","for","map","obsr153355","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,0,0,0,0,"f",""
"A1125704","L1139341",43.075764,-77.648388,"US-NY","under","buildi","",NA,NA,"",NA,"human","human","geocode","obsr167632","amerob","American Robin",2011,"","","2011-04-14",NA,NA,"2011-04-25",NA,"2011-05-08",NA,0,3,1,1,"f",""
"A1129957","L1191411",39.7393782,-84.0461086,"US-OH","in","busshr","",1.2192,NA,"e",266.1,"human","human","geocode","obsr134262","amerob","American Robin",2011,"","","2011-06-10",NA,NA,"2011-06-26",NA,"",NA,0,3,3,0,"f",""
"A1130265","L428808",40.5308707,-75.575825,"US-PA","in","nesbox","",1.2192,3.81,"w",121.9,"human","human","geocode","obsr128793","amerob","American Robin",2011,"","","2011-06-01",1,NA,"",NA,"",NA,3,3,3,1,"s1",""
"A1131616","L1226046",42.2143331,-84.5490324,"US-MI","in","ltrbra","",6,NA,"",NA,"human","human","map","obsr48831","amerob","American Robin",2011,"","","",NA,NA,"2011-07-13",NA,"",NA,0,4,1,3,"f",""
"A1128563","L1176187",42.207408,-72.631651,"US-MA","on","buildi","",NA,NA,"",NA,"human","human","geocode","obsr250903","amerob","American Robin",2011,"","","2011-05-01",NA,NA,"2011-05-06",NA,"",NA,0,3,3,0,"f",""
"A1129961","L1191416",39.7391533,-84.0465083,"US-OH","in","busshr","",1.2192,NA,"n",266.1,"human","human","geocode","obsr134262","amerob","American Robin",2011,"","","2011-06-12",NA,NA,"2011-06-26",NA,"",NA,0,4,4,0,"f",""
"A1131454","L759485",48.739421,-118.1547386,"US-WA","in","ltrbra","",1.9812,NA,"",609.6,"human","human","map","obsr113012","amerob","American Robin",2011,"","","2011-06-14",NA,NA,"",NA,"",NA,0,3,0,3,"f",""
"A1127798","L1169191",41.1961747,-73.2658052,"US-CT","in","ltrbra","",2.4384,NA,"",47.2,"oth","for","map","obsr213536","amerob","American Robin",2011,"","","2011-05-24",NA,NA,"2011-06-07",NA,"",NA,0,4,3,1,"f",""
"A1129223","L887650",41.4252468,-74.5057951,"US-NY","on","poptow","",2.1336,NA,"",236.2,"human","human","latlong","obsr198521","amerob","American Robin",2011,"","","2011-05-13",NA,NA,"2011-05-29",NA,"",NA,0,4,2,2,"f",""
"A1127501","L1164223",38.819899,-77.168321,"US-VA","on","buildi","",2.286,NA,"",84.4,"human","human","geocode","obsr128484","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,0,0,0,0,"f",""
"A1138092","L1328225",43.55307,-87.957965,"US-WI","in","ltrcav","",1.2192,15.24,"",274.3,"human","human","geocode","obsr242151","amerob","American Robin",2011,"","","2011-04-22",NA,NA,"",NA,"",NA,0,1,0,1,"f",""
"A1148747","L1613574",42.062916,-76.04413,"US-NY","in","busshr","",1.2192,NA,"",518.2,"ry","ry","geocode","obsr184265","amerob","American Robin",2011,"","","2012-07-04",0,NA,"2012-07-18",0,"2012-08-01",0,3,3,3,0,"s1",""
"A1127871","L1169893",40.0613545,-74.239305,"US-NJ","in","busshr","",NA,NA,"s",NA,"human","human","geocode","obsr204318","amerob","American Robin",2011,"","","2011-05-19",0,NA,"",NA,"",NA,0,1,0,1,"f",""
"A1126784","L1156330",39.903846,-75.3076391,"US-PA","in","ltrbra","",1.524,NA,"",NA,"human","human","geocode","obsr185875","amerob","American Robin",2011,"","","",0,NA,"",1,"",1,NA,2,NA,2,"f",""
"A1126487","L1151437",42.1430789,-71.5501595,"US-MA","in","busshr","",1.2192,NA,"",NA,"human","human","geocode","obsr263968","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1129916","L1190716",41.00583,-76.1749265,"US-PA","on","nesbox","",NA,NA,"",NA,"human","for","map","obsr271724","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1128279","L1173866",41.1678396,-84.7896778,"US-OH","on","ltrbra","",2.1336,NA,"",254,"human","human","geocode","obsr256918","amerob","American Robin",2011,"","","2011-03-09",NA,NA,"2011-04-04",NA,"2011-05-28",NA,3,3,3,0,"s1",""
"A1127800","L1169222",41.196094,-73.2650113,"US-CT","in","ltrbra","",1.6764,NA,"",45.7,"for","oth","map","obsr213536","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,1,NA,2,NA,"s1",""
"A1126665","L1154469",40.3862994,-75.7910578,"US-PA","on","other","window sill",4.572,NA,"sw",125,"human","human","geocode","obsr264579","amerob","American Robin",2011,"","","2011-04-27",NA,NA,"2011-05-09",NA,"2011-05-22",NA,4,4,4,0,"s1",""
"A1126950","L1156422",38.6616124,-87.1429297,"US-IN","in","ltrbra","",2.4384,NA,"",NA,"human","human","map","obsr265178","amerob","American Robin",2011,"","","2011-05-02",NA,NA,"2011-05-17",NA,"2011-05-26",NA,2,2,2,0,"s1",""
"A1126951","L1156416",38.6616292,-87.1433669,"US-IN","in","ltrbra","",4.572,NA,"",NA,"human","human","map","obsr265178","amerob","American Robin",2011,"","","2011-05-16",NA,NA,"2011-05-31",NA,"2011-06-06",NA,1,1,1,1,"s1",""
"A1126106","L1146342",37.53808,-77.554941,"US-VA","in","busshr","",0.9144,NA,"",89.9,"human","human","geocode","obsr12659","amerob","American Robin",2011,"","","2011-04-24",NA,NA,"2011-05-07",NA,"2011-05-21",NA,4,4,4,0,"s1",""
"A1127097","L1159017",41.4684574,-75.4695511,"US-PA","on","other","top of garden hose reel",0.9144,NA,"",548.6,"human","for","map","obsr153355","amerob","American Robin",2011,"","","2011-05-07",NA,NA,"2011-05-25",NA,"2011-06-04",NA,1,3,1,1,"s1",""
"A1126767","L550295",42.538899,-76.507865,"US-NY","on","buildi","",2.7432,NA,"se",252,"human","human","geocode","obsr154522","amerob","American Robin",2011,"","","2011-04-29",NA,NA,"2011-05-12",NA,"2011-05-25",NA,3,3,3,0,"s1",""
"A1124719","L1127307",35.050066,-89.651465,"US-TN","on","ltrbra","",3.6576,NA,"",91.4,"human","human","geocode","obsr248559","amerob","American Robin",2011,"","","2011-04-02",NA,NA,"2011-04-15",NA,"2011-04-30",NA,3,4,3,NA,"s1",""
"A1129892","L1190084",38.952068,-104.6107339,"US-CO","under","other","under our deck",3.6576,NA,"",2133.6,"human","human","geocode","obsr181738","amerob","American Robin",2011,"","","2011-05-19",NA,NA,"2011-06-01",NA,"2011-06-11",NA,4,4,4,0,"s1",""
"A1130704","L1209792",41.6139664,-72.7465725,"US-CT","in","ltrbra","",2.1336,NA,"",45.7,"human","human","map","obsr179442","amerob","American Robin",2011,"","","2011-05-24",NA,NA,"2011-06-06",NA,"2011-06-19",NA,3,3,3,0,"s1",""
"A1130217","L1194458",42.7284213,-84.4479239,"US-MI","in","ltrbra","",3.048,NA,"",NA,"human","human","map","obsr272215","amerob","American Robin",2011,"","","2011-05-20",NA,NA,"2011-06-04",NA,"2011-06-16",NA,3,NA,3,NA,"s1",""
"A1131455","L1221889",48.7391831,-118.155263,"US-WA","in","buildi","",0.9144,NA,"",594.4,"human","human","geocode","obsr113012","amerob","American Robin",2011,"","","2011-05-18",NA,NA,"2011-06-01",NA,"2011-06-12",NA,4,4,4,0,"s1",""
"A1131759","L1228810",47.5043658,-116.8754472,"US-ID","in","ltrbra","",1.524,15.24,"w",655.3,"human","for","geocode","obsr271389","amerob","American Robin",2011,"","","2011-06-13",NA,NA,"2011-06-27",NA,"2011-07-11",NA,3,3,3,0,"s1",""
"A1131395","L1220812",39.8088924,-75.8973832,"US-PA","in","busshr","",1.524,NA,"",NA,"human","human","geocode","obsr252759","amerob","American Robin",2011,"","","",NA,NA,"",NA,"2011-07-09",NA,1,1,1,0,"s1",""
"A1129701","L1187822",38.3830982,-87.2170968,"US-IN","on","ltrbra","",NA,NA,"",135,"human","for","latlong","obsr149335","amerob","American Robin",2011,"","","2011-06-11",NA,NA,"2011-06-24",NA,"2011-07-09",NA,3,4,3,1,"s1",""
"A1130448","L1170140",50.2718907,-104.6872509,"CA-SK","in","busshr","",NA,NA,"",NA,"human","ag","latlong","obsr267926","amerob","American Robin",2011,"","","2011-05-22",NA,NA,"2011-06-03",NA,"2011-06-16",NA,4,4,4,0,"s1",""
"A1131038","L1214840",46.5004971,-84.3676722,"US-MI","on","other","rafter of our porch",6.096,NA,"",213.4,"human","for","latlong","obsr273510","amerob","American Robin",2011,"","","2011-05-21",NA,NA,"2011-06-11",NA,"2011-06-27",NA,1,NA,1,NA,"s1",""
"A1129790","L1188495",39.8953164,-84.742012,"US-OH","on","ltrbra","",1.524,NA,"",518.2,"human","ag","map","obsr246848","amerob","American Robin",2011,"","","2011-05-06",NA,NA,"2011-05-19",NA,"2011-06-01",NA,4,4,4,0,"s1",""
"A1128312","L1174034",39.729432,-83.808919,"US-OH","on","buildi","",1.8288,NA,"",NA,"human","human","geocode","obsr224722","amerob","American Robin",2011,"","","2011-05-01",NA,NA,"2011-05-15",NA,"2011-05-28",NA,2,3,2,1,"s1",""
"A1128585","L1176747",42.3920526,-76.3515177,"US-NY","on","poptow","",3.048,10.16,"",NA,"ag","for","map","obsr269040","amerob","American Robin",2011,"","","2011-05-23",NA,NA,"2011-06-06",NA,"2011-06-21",NA,3,4,3,1,"s1",""
"A1129553","L1186571",41.1955128,-73.266449,"US-CT","under","busshr","",2.286,NA,"ne",47.2,"oth","for","map","obsr213536","amerob","American Robin",2011,"","","2011-06-13",NA,NA,"2011-06-23",NA,"2011-07-08",NA,1,3,1,2,"s1",""
"A1128144","L722329",43.1226769,-74.7968919,"US-NY","in","buildi","",2.286,NA,"s",310.9,"human","ag","geocode","obsr139043","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,3,4,4,0,"s1",""
"A1131442","L1221595",43.8531424,-69.7679673,"US-ME","on","ltrbra","",3,NA,"",8,"human","human","map","obsr144948","amerob","American Robin",2011,"","","2011-04-24",NA,NA,"2011-05-10",NA,"2011-05-19",NA,4,4,4,0,"s1",""
"A1131559","L1223840",48.739597,-118.1553045,"US-WA","in","busshr","",2.1336,NA,"",594.4,"human","human","geocode","obsr113012","amerob","American Robin",2011,"","","2011-05-29",NA,NA,"2011-06-11",NA,"2011-06-24",NA,3,3,3,0,"s1",""
"A1130529","L1207608",43.0964852,-77.3807204,"US-NY","in","ltrbra","",0.9144,NA,"",NA,"human","oth","geocode","obsr200072","amerob","American Robin",2011,"","","2011-05-21",NA,NA,"2011-06-05",NA,"2011-06-15",NA,4,4,4,0,"s1",""
"A1132554","L887650",41.4252468,-74.5057951,"US-NY","on","poptow","",2.1336,NA,"",236.2,"human","human","latlong","obsr198521","amerob","American Robin",2011,"","","2011-06-15",NA,NA,"2011-06-29",NA,"2011-07-13",NA,1,4,2,2,"s1",""
"A1132365","L1227218",41.1123475,-78.6372399,"US-PA","on","busshr","",0.9144,NA,"",522.4,"human","for","map","obsr271026","amerob","American Robin",2011,"","","2011-05-25",NA,NA,"2011-06-07",NA,"2011-06-19",NA,4,4,4,0,"s1",""
"A1132506","L1241453",42.4479883,-71.7105304,"US-MA","in","busshr","",1.8288,NA,"",45.7,"human","human","map","obsr12895","amerob","American Robin",2011,"","","2011-07-10",NA,NA,"2011-07-25",NA,"2011-08-05",NA,3,4,3,1,"s1",""
"A1132243","L1236622",41.321049,-74.143798,"US-NY","in","ltrbra","",6.096,NA,"",NA,"for","human","geocode","obsr215575","amerob","American Robin",2011,"","","2011-05-20",NA,NA,"2011-06-01",NA,"2011-06-15",NA,1,NA,1,NA,"s1",""
"A1130483","L1159017",41.4684574,-75.4695511,"US-PA","on","other","top of garden hose reel",0.9144,NA,"",548.6,"human","for","map","obsr153355","amerob","American Robin",2011,"","","2011-06-15",NA,NA,"2011-06-27",NA,"2011-07-09",NA,2,3,2,1,"s1",""
"A1135400","L1280107",48.7394546,-118.1550444,"US-WA","in","busshr","",1.8288,NA,"",594.4,"human","human","map","obsr113012","amerob","American Robin",2011,"","","2011-07-02",NA,NA,"2011-07-17",NA,"2011-08-01",NA,4,4,4,0,"s1",""
"A1133263","L68183",43.5277778,-70.8055556,"US-ME","in","nesbox","",1.463,3.81,"n",207,"","","BIRDHOUSE_HIST:SELF","obsr3965","amerob","American Robin",2011,"","","2011-05-24",NA,NA,"",NA,"2011-06-21",NA,3,3,3,0,"s1",""
"A1125964","L1144117",36.885174,-76.279935,"US-VA","in","busshr","",1.524,NA,"",0,"human","human","geocode","obsr262275","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126489","L1143775",39.9935959,-105.0897058,"US-CO","on","other","Ledge of Front Door",2.4384,15.24,"e",NA,"human","human","geocode","obsr262137","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127210","L1141932",40.3747044,-80.0702555,"US-PA","on","ltrbra","",3.6576,NA,"",914.4,"human","human","geocode","obsr252781","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126061","L1145403",39.460273,-75.182742,"US-NJ","in","ltrbra","",1.2192,NA,"",34.1,"human","human","geocode","obsr241754","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127747","L1168523",37.1376805,-85.9535003,"US-KY","on","ltrbra","",2.1336,NA,"",NA,"human","human","geocode","obsr267667","amerob","American Robin",2011,"","","",NA,NA,"",NA,"2011-05-18",NA,NA,NA,NA,NA,"u1",""
"A1127773","L1168920",36.0276379,-89.3511014,"US-TN","on","poptow","",3.6576,NA,"",91.4,"human","human","geocode","obsr237233","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127775","L1168924",36.0275501,-89.3508438,"US-TN","on","poptow","",4.572,NA,"",91.4,"human","human","latlong","obsr237233","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127950","L1170662",36.2920223,-96.0059166,"US-OK","in","ltrbra","",3.048,NA,"",198.7,"grass","grass","map","obsr202388","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126000","L1144581",42.353364,-83.363092,"US-MI","on","buildi","",NA,NA,"",NA,"human","human","geocode","obsr262409","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1125723","L1139731",41.03317,-85.1743709,"US-IN","on","other","Frontier Fios Optical Network Terminal Box",NA,NA,"",NA,"human","human","geocode","obsr259096","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126107","L1146400",35.5968794,-78.5339642,"US-NC","on","buildi","",3.0227,NA,"",68,"human","human","map","obsr248815","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127089","L1158949",36.76971,-75.994356,"US-VA","in","busshr","",0.6096,15.24,"w",6.1,"human","human","geocode","obsr257661","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127126","L1159518",40.15114,-75.50805,"US-PA","on","buildi","",2.1336,NA,"",NA,"human","for","geocode","obsr266093","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126780","L717328",39.9038957,-75.3077657,"US-PA","on","other","nesting platform",2.4384,NA,"",NA,"human","human","geocode","obsr185875","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126923","L1157013",37.465818,-77.626838,"US-VA","on","poptow","",1.8288,NA,"",NA,"human","for","geocode","obsr265517","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1127677","L1167788",41.1774359,-84.733453,"US-OH","on","other","Scoreboard",1.524,NA,"",221.9,"human","for","geocode","obsr267489","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1128104","L1158666",39.938479,-74.976611,"US-NJ","on","ltrbra","",1.524,NA,"",1.5,"human","human","geocode","obsr265941","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1126522","L1152280",35.9064822,-81.5392935,"US-NC","on","poptow","",6.096,NA,"",NA,"human","human","map","obsr264112","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1129822","L1174034",39.729432,-83.808919,"US-OH","on","buildi","",1.8288,NA,"",NA,"human","human","geocode","obsr224722","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1129907","L1190400",41.2018983,-73.8759542,"US-NY","on","poptow","",2.286,NA,"",45.7,"human","human","map","obsr271673","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1132533","L1242283",42.2867228,-76.4213061,"US-NY","on","ltrbra","",6.096,NA,"",380.7,"for","for","map","obsr269192","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1132534","L1242288",42.2868419,-76.420877,"US-NY","on","buildi","",2.4384,NA,"",380.7,"for","for","map","obsr269192","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,1,NA,"u1",""
"A1132543","L1242325",42.2868935,-76.4212257,"US-NY","on","ltrbra","",6.096,NA,"",380.7,"human","for","map","obsr269192","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
"A1129823","L1157110",37.489583,-77.63814,"US-VA","in","other","concrete flower planter",NA,NA,"",NA,"human","human","geocode","obsr265545","amerob","American Robin",2011,"","","",NA,NA,"",NA,"",NA,NA,NA,NA,NA,"u1",""
